date,visitors,signups,revenue
2024-07-01,1031,27,1741.31
2024-07-02,1012,33,2118.21
2024-07-03,1048,67,3532.37
2024-07-04,1073,48,1045.82
2024-07-05,1050,35,1964.24
2024-07-06,1071,34,2005.76
2024-07-07,1090,49,2300.67
2024-07-08,1075,73,1488.46
2024-07-09,1128,33,1496.78
2024-07-10,1113,32,2477.85
2024-07-11,1106,28,1198.28
2024-07-12,1101,78,4385.44
2024-07-13,1154,26,1236.7
2024-07-14,1119,87,3715.95
2024-07-15,1139,42,2424.17
2024-07-16,1202,86,4699.14
2024-07-17,1242,30,1790.27
2024-07-18,1290,48,1189.8
2024-07-19,1269,91,3895.49
2024-07-20,1277,74,3099.85
2024-07-21,1274,52,3130.95
2024-07-22,1313,100,5888.21
2024-07-23,1340,77,4007.73
2024-07-24,1321,39,1667.93
2024-07-25,1389,81,4326.78
2024-07-26,1426,56,3701.53
2024-07-27,1383,46,1008.6
2024-07-28,1373,60,1438.28
2024-07-29,1439,110,7984.03
2024-07-30,1429,46,2297.88
2024-07-31,1492,111,5275.95
2024-08-01,1475,41,2652.67
2024-08-02,1493,53,2918.98
2024-08-03,1557,85,3546.18
2024-08-04,1524,77,1960.0
2024-08-05,1480,106,3092.07
2024-08-06,1450,97,4396.97
2024-08-07,1408,60,3345.2
2024-08-08,1417,73,5713.32
2024-08-09,1477,113,6872.32
2024-08-10,1441,87,4542.99
2024-08-11,1425,94,3798.59
2024-08-12,1412,65,3069.52
2024-08-13,1454,105,3759.35
2024-08-14,1468,96,4844.25
2024-08-15,1431,103,3904.39
2024-08-16,1462,73,2331.23
2024-08-17,1459,95,4974.46
2024-08-18,1508,113,8487.39
2024-08-19,1534,60,1270.12
2024-08-20,1602,66,5221.87
2024-08-21,1655,63,1478.96
2024-08-22,1717,92,2274.74
2024-08-23,1760,86,2077.14
2024-08-24,1807,93,2561.74
2024-08-25,1841,89,4715.95
2024-08-26,1824,94,5301.19
2024-08-27,1801,136,8882.96
2024-08-28,1839,58,2244.77
2024-08-29,1874,110,5091.46
2024-08-30,1890,88,3068.94
2024-08-31,1848,74,4092.09
2024-09-01,1827,101,2063.58
2024-09-02,1867,108,3643.54
2024-09-03,1932,42,1672.68
2024-09-04,1947,66,3969.15
2024-09-05,1924,100,6340.12
2024-09-06,1986,107,5174.55
2024-09-07,2036,98,4353.51
2024-09-08,1998,51,2339.02
2024-09-09,2002,89,6392.89
2024-09-10,1958,118,9327.89
2024-09-11,1920,45,2866.18
2024-09-12,1972,141,4923.63
2024-09-13,1946,101,2869.5
2024-09-14,1919,70,2449.19
2024-09-15,1987,48,3287.1
2024-09-16,2046,108,2487.81
2024-09-17,2065,144,11252.13
2024-09-18,2133,139,4751.4
2024-09-19,2135,104,3413.78
2024-09-20,2136,158,4720.76
2024-09-21,2086,165,5925.51
2024-09-22,2136,143,5307.44
2024-09-23,2175,168,13393.86
2024-09-24,2196,131,6445.24
2024-09-25,2170,82,6406.05
2024-09-26,2194,140,3312.04
2024-09-27,2184,51,2807.58
2024-09-28,2198,165,8558.15
